ID_RESUL_CONSTR,ID_CORRIDA,ID_CONSTRUTOR,pt_construtor,no_construtor
1,18,1,14,McLaren
2,18,2,8,"BMW Sauber"
3,18,3,9,Williams
4,18,4,5,Renault
5,18,5,2,"Toro Rosso"
6,18,6,1,Ferrari
7,19,7,24,Toyota
8,19,8,19,"Super Aguri"
9,19,9,9,"Red Bull"
10,19,10,6,"Force India"
11,19,11,2,Honda
12,19,12,11,Spyker
13,19,13,5,MF1
14,19,14,2,"Spyker MF1"
15,19,15,0,Sauber
16,19,16,0,BAR
17,19,17,0,Jordan
18,20,18,28,Minardi
19,20,19,30,Jaguar
20,20,20,10,Prost
21,20,21,6,Arrows
22,20,22,2,Benetton
23,20,23,29,Brawn
24,20,24,8,Stewart
25,20,25,4,Tyrrell
26,20,26,0,Lola
27,20,27,0,Ligier
28,20,28,0,Forti
29,21,29,34,Footwork
30,21,30,35,Pacific
31,21,31,12,Simtek
32,21,32,6,"Team Lotus"
33,21,33,2,Larrousse
34,21,34,47,Brabham
35,21,35,9,Dallara
36,21,36,8,Fondmetal
37,21,37,3,March
38,21,38,0,"Andrea Moda"
39,21,39,0,AGS
40,22,40,42,Lambo
41,22,41,44,"Leyton House"
42,22,42,13,Coloni
44,22,44,9,"Euro Brun"
45,22,45,2,Osella
46,22,46,63,Onyx
47,22,47,9,Life
48,22,48,10,Rial
49,22,49,3,Zakspeed
50,22,50,0,RAM
51,22,51,0,"Alfa Romeo"
52,23,52,53,Spirit
53,23,53,52,Toleman
54,23,54,15,ATS
55,23,55,9,Theodore
56,23,56,6,Fittipaldi
57,23,57,69,Ensign
58,23,58,9,Shadow
59,23,59,15,Wolf
60,23,60,6,Merzario
61,23,61,0,Kauhsen
62,23,62,0,Rebaque
63,24,63,53,Surtees
64,24,64,70,Hesketh
65,24,65,15,Martini
66,24,66,9,BRM
67,24,67,7,Penske
68,24,68,73,LEC
69,24,69,17,McGuire
70,24,70,21,Boro
71,24,71,8,Apollon
72,24,72,0,Kojima
73,24,73,0,Parnelli
74,25,74,58,Maki
75,25,75,74,"Embassy Hill"
76,25,76,15,Lyncar
77,25,77,12,Trojan
78,25,78,7,Amon
79,25,79,91,Token
80,25,80,23,"Iso Marlboro"
81,25,81,24,Tecno
82,25,82,8,Matra
83,25,83,0,Politoys
84,25,84,0,Connew
85,26,85,72,Bellasi
86,26,86,82,"De Tomaso"
87,26,87,16,Cooper
88,26,88,15,Eagle
89,26,89,7,LDS
90,26,90,96,Protos
