ID_PILOTO,NO_PILOTO,NACIONALIDADE,rf_piloto,NU_PILOTO
1,hamilton,British,HAM,44
2,heidfeld,German,HEI,N
3,rosberg,German,ROS,6
4,alonso,Spanish,ALO,14
5,kovalainen,Finnish,KOV,N
6,nakajima,Japanese,NAK,N
7,bourdais,French,BOU,N
8,raikkonen,Finnish,RAI,7
9,kubica,Polish,KUB,88
10,glock,German,GLO,N
11,sato,Japanese,SAT,N
12,piquet_jr,Brazilian,PIQ,N
13,massa,Brazilian,MAS,19
14,coulthard,British,COU,N
15,trulli,Italian,TRU,N
16,sutil,German,SUT,99
17,webber,Australian,WEB,N
18,button,British,BUT,22
19,davidson,British,DAV,N
20,vettel,German,VET,5
21,fisichella,Italian,FIS,N
22,barrichello,Brazilian,BAR,N
23,ralf_schumacher,German,SCH,N
24,liuzzi,Italian,LIU,N
25,wurz,Austrian,WUR,N
26,speed,American,SPE,N
27,albers,Dutch,ALB,N
28,markus_winkelhock,German,WIN,N
29,yamamoto,Japanese,YAM,N
30,michael_schumacher,German,MSC,N
31,montoya,Colombian,MON,N
32,klien,Austrian,KLI,N
33,monteiro,Portuguese,TMO,N
34,ide,Japanese,IDE,N
35,villeneuve,Canadian,VIL,N
36,montagny,French,FMO,N
37,rosa,Spanish,DLR,N
38,doornbos,Dutch,DOO,N
39,karthikeyan,Indian,KAR,N
40,friesacher,Austrian,FRI,N
41,zonta,Brazilian,ZON,N
42,pizzonia,Brazilian,PIZ,N
43,matta,Brazilian,N,N
44,panis,French,N,N
45,pantano,Italian,N,N
46,bruni,Italian,N,N
47,baumgartner,Hungarian,N,N
48,gene,Spanish,N,N
49,frentzen,German,N,N
50,verstappen,Dutch,N,N
51,wilson,British,N,N
52,firman,Irish,N,N
53,kiesa,Danish,N,N
54,burti,Brazilian,N,N
55,alesi,French,N,N
56,irvine,British,N,N
57,hakkinen,Finnish,N,N
58,marques,Brazilian,N,N
59,bernoldi,Brazilian,N,N
60,mazzacane,Argentine,N,N
61,enge,Czech,N,N
62,yoong,Malaysian,N,N
63,salo,Finnish,N,N
64,diniz,Brazilian,N,N
65,herbert,British,N,N
66,mcnish,British,N,N
67,buemi,Swiss,BUE,N
68,takagi,Japanese,N,N
69,badoer,Italian,BAD,N
70,zanardi,Italian,N,N
71,damon_hill,British,N,N
72,sarrazin,French,N,N
73,rosset,Brazilian,N,N
74,tuero,Argentine,N,N
75,nakano,Japanese,N,N
76,magnussen,Danish,MAG,N
77,berger,Austrian,N,N
78,larini,Italian,N,N
79,katayama,Japanese,N,N
80,sospiri,Italian,N,N
81,morbidelli,Italian,N,N
82,fontana,Argentine,N,N
83,lamy,Portuguese,N,N
84,brundle,British,N,N
85,montermini,Italian,N,N
86,lavaggi,Italian,N,N
87,blundell,British,N,N
88,suzuki,Japanese,N,N
89,inoue,Japanese,N,N
90,moreno,Brazilian,N,N
91,wendlinger,Austrian,N,N
92,gachot,Belgian,N,N
93,schiattarella,Italian,N,N
94,martini,Italian,N,N
95,mansell,British,N,N
96,boullion,French,N,N
97,papis,Italian,N,N
98,deletraz,Swiss,N,N
99,tarquini,Italian,N,N
100,comas,French,N,N
101,brabham,Australian,N,N
102,senna,Brazilian,N,N
103,bernard,French,N,N
104,fittipaldi,Brazilian,N,N
105,alboreto,Italian,N,N
106,beretta,Monegasque,N,N
107,ratzenberger,Austrian,N,N
108,belmondo,French,N,N
109,lehto,Finnish,N,N
110,cesaris,Italian,N,N
111,gounon,French,N,N
112,alliot,French,N,N
113,adams,Belgian,N,N
114,dalmas,French,N,N
115,noda,Japanese,N,N
116,lagorce,French,N,N
117,prost,French,N,N
118,warwick,British,N,N
119,patrese,Italian,N,N
120,barbazza,Italian,N,N
121,andretti,American,N,N
122,capelli,Italian,N,N
123,boutsen,Belgian,N,N
124,apicella,Italian,N,N
125,naspetti,Italian,N,N
126,toshio_suzuki,Japanese,N,N
127,gugelmin,Brazilian,N,N
128,poele,Belgian,N,N
129,grouillard,French,N,N
130,chiesa,Swiss,N,N
131,modena,Italian,N,N
132,amati,Italian,N,N
133,caffi,Italian,N,N
134,bertaggia,Italian,N,N
135,mccarthy,British,N,N
136,lammers,Dutch,N,N
137,piquet,Brazilian,N,N
138,satoru_nakajima,Japanese,N,N
139,pirro,Italian,N,N
140,johansson,Swedish,N,N
141,bailey,British,N,N
142,chaves,Portuguese,N,N
143,bartels,German,N,N
144,hattori,Japanese,N,N
145,nannini,Italian,N,N
146,schneider,German,N,N
147,barilla,Italian,N,N
148,foitek,Swiss,N,N
149,langes,Italian,N,N
150,gary_brabham,Australian,N,N
151,donnelly,British,N,N
152,giacomelli,Italian,N,N
