ID_RESULTADO,ID_CORRIDA,ID_CONSTRUTOR,ID_PILOTO,ID_CIRCUITO,CodData,NU_CARRO,POSICAO_FINAL,VOLTA_RAPIDA,TEMPO1,TEMPO2,TEMPO3,PT_PILOTO
1,18,1,1,1,1,22,1,19700101,1:26.572,1:25.187,1:26.714,10
2,18,2,2,2,1,3,2,19700102,1:26.103,1:25.315,1:26.869,8
3,18,3,3,17,1,7,3,19700103,1:25.664,1:25.452,1:27.079,6
4,18,4,4,3,1,5,4,19700104,1:25.994,1:25.691,1:27.178,5
5,18,1,5,4,1,23,5,19700105,1:25.960,1:25.518,1:27.236,4
6,18,3,6,6,1,8,6,19700106,1:26.427,1:26.101,1:28.527,3
7,18,5,7,5,1,14,7,19700107,1:26.295,1:26.059,1:28.687,2
8,18,6,8,9,1,1,8,19700108,1:26.381,1:26.063,1:29.041,1
9,18,2,9,20,1,4,N,19700109,1:26.919,1:26.164,1:29.593,14
10,18,7,10,11,1,12,N,19700110,1:26.702,1:25.842,N,11
11,18,8,11,12,1,18,N,19700111,1:26.369,1:26.173,N,6
12,18,4,12,13,1,6,N,19700112,1:26.907,1:26.188,N,6
13,18,6,13,14,1,2,N,19700113,1:26.712,1:26.259,N,10
14,18,9,14,15,1,9,N,19700114,1:26.891,1:26.413,N,3
15,18,7,15,22,1,11,N,19700115,1:26.914,N,N,2
16,18,10,16,18,1,20,N,19700116,1:26.140,N,N,11
17,18,9,17,24,0,10,N,19700117,1:27.207,N,N,8
18,18,11,18,1,0,16,N,19700118,1:27.446,N,N,5
19,18,8,19,2,0,19,N,19700119,1:27.859,N,N,2
20,18,5,20,3,0,15,N,19700120,1:28.208,N,N,0
21,18,10,21,4,0,21,N,19700121,1:28.330,N,N,0
22,18,11,22,5,1,17,N,19700122,1:29.059,N,N,0
23,19,6,8,6,1,1,1,19700123,1:35.347,1:34.412,1:35.748,0
24,19,2,9,7,1,4,2,19700124,1:35.645,1:34.188,1:36.230,0
25,19,1,5,8,1,23,3,19700125,1:35.227,1:34.759,1:36.613,0
26,19,7,15,9,1,11,4,19700126,1:35.392,1:34.627,1:36.709,0
27,19,1,1,10,1,22,5,19700127,1:35.205,1:34.960,1:36.711,14
28,19,2,2,11,1,3,6,19700128,1:35.794,1:34.811,1:36.727,16
29,19,9,17,12,1,10,7,19700129,1:35.729,1:34.648,1:36.753,7
30,19,4,4,13,1,5,8,19700130,1:35.440,1:34.967,1:37.009,6
31,19,9,14,14,1,9,9,19700131,1:35.983,1:35.140,1:38.450,14
32,19,11,18,15,1,16,10,19700201,1:35.891,1:35.000,1:39.656,3
33,19,4,12,16,1,6,11,19700202,1:35.847,1:35.208,N,2
